date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,count,in,out,is_rainy,is_weekend,weekday,is_holiday,is_vacations
2021-06-14,23.5,20.5,25.3,0.0,,,7.8,24.1,1016.8,,414,205,209,False,False,Monday,False,False
2021-06-15,24.6,21.4,26.6,0.0,,,5.6,29.6,1016.7,,2401,1216,1185,False,False,Tuesday,False,False
2021-06-16,24.7,22.6,26.8,0.0,,,7.9,24.1,1015.8,,2538,1287,1251,False,False,Wednesday,False,False
2021-06-17,25.1,21.7,27.5,0.0,,,14.0,31.0,1015.9,,2402,1200,1202,False,False,Thursday,False,False
2021-06-18,24.4,21.8,26.2,0.0,,,16.2,42.0,1016.4,,2188,1111,1077,False,False,Friday,False,False
2021-06-19,23.7,20.9,26.1,0.0,,,11.4,33.0,1016.6,,2283,1155,1128,False,True,Saturday,False,False
2021-06-20,24.1,21.7,27.7,0.0,,,13.0,35.0,1012.3,,2239,1149,1090,False,True,Sunday,False,False
2021-06-21,23.8,21.4,25.7,0.3,,,12.5,33.3,1010.2,,2537,1302,1235,False,False,Monday,False,False
2021-06-22,23.7,20.4,26.1,0.0,,,9.6,29.6,1011.8,,2688,1357,1331,False,False,Tuesday,False,False
2021-06-23,23.4,20.5,25.7,0.0,,,11.0,33.0,1014.7,,2522,1294,1228,False,False,Wednesday,False,False
2021-06-24,23.8,20.5,26.5,0.0,,,19.5,48.0,1016.0,,2352,1203,1149,False,False,Thursday,False,False
2021-06-25,23.0,19.6,26.9,0.0,,,11.1,29.6,1015.4,,2466,1254,1212,False,False,Friday,False,False
2021-06-26,22.8,18.9,25.5,0.0,,,11.1,27.8,1016.2,,2504,1295,1209,False,True,Saturday,False,False
2021-06-27,24.2,20.0,26.2,0.0,,,6.2,20.4,1015.1,,2736,1381,1355,False,True,Sunday,False,False
2021-06-28,25.9,22.6,29.9,0.0,,,7.8,31.5,1013.7,,2365,1238,1127,False,False,Monday,False,False
2021-06-29,25.2,20.6,31.4,0.0,,,18.5,59.3,1011.8,,2553,1292,1261,False,False,Tuesday,False,False
