date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,count,in,out,is_rainy,is_weekend,weekday,is_holiday,is_vacations
2020-07-03,21.9,20.1,27.0,0.0,,,12.9,42.0,1011.1,,571,282,289,False,False,Friday,False,False
2020-07-04,24.2,19.5,27.4,0.3,,,13.7,29.6,1016.0,,3451,1750,1701,False,True,Saturday,False,True
2020-07-05,24.8,22.5,26.5,0.0,,,9.8,24.1,1016.0,,3637,1818,1819,False,True,Sunday,False,True
2020-07-06,24.9,21.4,27.4,0.0,,,8.5,37.0,1010.3,,3549,1732,1817,False,False,Monday,False,True
2020-07-07,25.4,21.8,28.6,0.0,,,16.1,28.0,1010.5,,3567,1740,1827,False,False,Tuesday,False,True
2020-07-08,24.7,21.9,27.1,0.0,,,9.5,21.0,1016.0,,3691,1836,1855,False,False,Wednesday,False,True
2020-07-09,25.0,22.1,27.4,0.0,,,9.5,22.0,1016.8,,3707,1809,1898,False,False,Thursday,False,True
2020-07-10,24.6,21.4,26.5,0.0,,,8.2,27.8,1015.4,,3465,1641,1824,False,False,Friday,False,True
2020-07-11,25.1,22.0,27.4,0.0,,,14.1,39.0,1013.8,,3070,1532,1538,False,True,Saturday,False,True
2020-07-12,26.4,23.2,30.0,0.0,,,12.0,31.0,1016.8,,3357,1674,1683,False,True,Sunday,False,True
2020-07-13,25.1,22.5,27.9,0.0,,,12.6,31.0,1017.6,,2911,1438,1473,False,False,Monday,False,True
2020-07-14,23.8,21.4,26.5,0.3,,,12.0,33.0,1014.7,,3446,1711,1735,False,False,Tuesday,True,True
2020-07-15,23.2,19.7,25.9,0.3,,,13.6,28.0,1013.1,,3370,1656,1714,False,False,Wednesday,False,True
2020-07-16,23.9,19.7,26.4,0.5,,,11.1,22.0,1014.0,,3738,1851,1887,False,False,Thursday,False,True
2020-07-17,24.2,20.9,26.3,0.0,,,9.9,27.8,1012.4,,3373,1671,1702,False,False,Friday,False,True
2020-07-18,24.1,22.1,26.3,0.0,,,6.8,24.1,1013.9,,3230,1607,1623,False,True,Saturday,False,True
2020-07-19,24.6,21.9,27.1,1.5,,,10.5,25.9,1015.3,,3552,1780,1772,True,True,Sunday,False,True
2020-07-20,24.6,22.0,27.4,0.0,,,8.0,25.9,1017.3,,3473,1728,1745,False,False,Monday,False,True
2020-07-21,25.1,21.8,27.3,0.0,,,9.9,29.6,1019.5,,3904,1943,1961,False,False,Tuesday,False,True
2020-07-22,25.2,21.8,28.1,0.0,,,10.0,24.0,1017.8,,3938,1968,1970,False,False,Wednesday,False,True
2020-07-23,25.4,22.5,28.1,0.0,,,8.9,31.5,1013.4,,3639,1851,1788,False,False,Thursday,False,True
2020-07-24,25.4,22.6,28.5,0.0,,,14.8,70.0,1010.0,,3273,1648,1625,False,False,Friday,False,True
2020-07-25,24.8,21.7,27.5,0.0,,,9.2,26.0,1013.1,,1573,744,829,False,True,Saturday,False,True
2020-07-26,25.0,21.7,27.4,0.0,,,12.2,30.0,1014.1,,3302,1651,1651,False,True,Sunday,False,True
2020-07-27,25.8,22.7,27.7,0.0,,,8.9,21.0,1017.0,,3440,1663,1777,False,False,Monday,False,True
2020-07-28,25.9,23.3,28.3,0.0,,,10.4,25.9,1015.9,,3870,1902,1968,False,False,Tuesday,False,True
2020-07-29,26.2,23.2,28.5,0.0,,,8.4,20.4,1015.5,,3850,1951,1899,False,False,Wednesday,False,True
2020-07-30,26.7,23.5,29.1,0.0,,,8.0,22.2,1017.1,,3459,1732,1727,False,False,Thursday,False,True
2020-07-31,27.1,24.3,30.6,0.0,,,7.5,25.9,1016.0,,3113,1527,1586,False,False,Friday,False,True
2020-08-01,27.1,23.3,29.5,0.0,,,8.1,22.2,1013.0,,2254,1158,1096,False,True,Saturday,False,True
2020-08-02,27.7,24.6,30.5,0.0,,,9.0,24.0,1009.6,,3050,1562,1488,False,True,Sunday,False,True
2020-08-03,26.3,24.5,29.5,0.0,,,19.7,50.0,1004.4,,3099,1507,1592,False,False,Monday,False,True
2020-08-04,24.4,19.4,27.4,2.3,,,14.0,39.0,1006.1,,3422,1647,1775,True,False,Tuesday,False,True
2020-08-05,25.3,21.4,28.7,0.0,,,12.2,26.0,1011.8,,3764,1880,1884,False,False,Wednesday,False,True
2020-08-06,25.8,21.9,29.3,0.0,,,13.1,28.0,1015.7,,3637,1803,1834,False,False,Thursday,False,True
2020-08-07,27.1,23.6,30.6,0.0,,,11.8,28.0,1017.9,,3401,1647,1754,False,False,Friday,False,True
2020-08-08,27.6,25.5,29.5,0.0,,,9.5,24.1,1018.0,,3174,1583,1591,False,True,Saturday,False,True
2020-08-09,28.3,26.0,32.6,0.0,,,9.6,24.0,1016.0,,3258,1624,1634,False,True,Sunday,False,True
2020-08-10,27.8,25.1,29.3,0.0,,,9.2,21.0,1014.3,,3360,1679,1681,False,False,Monday,False,True
2020-08-11,27.0,24.6,29.0,0.0,,,10.6,22.2,1015.4,,3780,1838,1942,False,False,Tuesday,False,True
2020-08-12,26.5,23.6,29.1,0.0,,,7.5,20.4,1015.9,,3532,1762,1770,False,False,Wednesday,False,True
2020-08-13,26.4,24.4,28.5,0.0,,,9.4,25.9,1015.4,,3797,1890,1907,False,False,Thursday,False,True
2020-08-14,26.3,23.2,28.5,0.0,,,10.6,22.0,1012.6,,3541,1776,1765,False,False,Friday,False,True
2020-08-15,26.1,22.6,28.6,0.0,,,10.7,29.6,1012.1,,2999,1506,1493,False,True,Saturday,True,True
2020-08-16,25.9,23.0,28.5,0.0,,,8.8,20.4,1011.6,,2647,1321,1326,False,True,Sunday,False,True
2020-08-17,25.8,22.3,32.8,0.0,,,15.9,39.0,1010.0,,3471,1747,1724,False,False,Monday,False,True
2020-08-18,25.7,22.5,29.4,0.0,,,15.4,31.0,1009.8,,1312,601,711,False,False,Tuesday,False,True
2020-08-19,25.1,21.4,28.2,0.0,,,10.8,26.0,1010.8,,3555,1812,1743,False,False,Wednesday,False,True
2020-08-20,25.6,22.7,28.1,0.0,,,8.4,22.2,1013.2,,3568,1781,1787,False,False,Thursday,False,True
2020-08-21,26.3,23.4,29.1,0.0,,,7.9,24.1,1016.0,,3244,1614,1630,False,False,Friday,False,True
2020-08-22,26.1,23.2,28.5,0.0,,,13.8,28.0,1015.4,,3061,1530,1531,False,True,Saturday,False,True
2020-08-23,25.8,22.1,28.4,0.0,,,9.3,25.9,1012.6,,3042,1524,1518,False,True,Sunday,False,True
2020-08-24,25.8,23.4,28.2,0.0,,,11.4,24.1,1011.7,,3169,1607,1562,False,False,Monday,False,True
2020-08-25,25.5,22.4,29.2,0.0,,,12.7,24.1,1014.1,,3560,1766,1794,False,False,Tuesday,False,True
2020-08-26,25.1,21.3,28.2,0.0,,,11.8,31.5,1014.7,,3536,1767,1769,False,False,Wednesday,False,True
2020-08-27,25.4,22.5,28.2,0.0,,,7.7,24.1,1013.1,,1877,928,949,False,False,Thursday,False,True
2020-08-28,25.1,22.0,27.4,0.0,,,8.5,21.0,1008.3,,3111,1581,1530,False,False,Friday,False,True
2020-08-29,23.7,20.7,27.3,0.0,,,12.6,30.0,1002.5,,1867,975,892,False,True,Saturday,False,True
2020-08-30,23.4,19.0,29.1,3.6,,,22.0,57.4,1004.3,,901,429,472,True,True,Sunday,False,True
2020-08-31,21.1,18.3,25.8,0.0,,,15.8,48.0,1011.0,,2654,1311,1343,False,False,Monday,False,True
2020-09-01,21.1,16.4,24.7,0.3,,,11.7,31.0,1011.9,,3353,1688,1665,False,False,Tuesday,False,False
2020-09-02,22.0,17.9,25.4,0.0,,,12.3,22.2,1014.0,,3456,1713,1743,False,False,Wednesday,False,False
2020-09-03,22.4,18.8,25.7,0.0,,,11.2,24.1,1020.2,,3602,1815,1787,False,False,Thursday,False,False
2020-09-04,23.4,20.0,26.3,0.0,,,9.9,21.0,1024.8,,3182,1536,1646,False,False,Friday,False,False
2020-09-05,23.6,20.2,27.7,0.0,,,16.2,31.0,1019.2,,60,25,35,False,True,Saturday,False,False
2020-09-06,22.8,19.3,26.0,0.0,,,13.5,28.0,1013.4,,3512,1734,1778,False,True,Sunday,False,False
2020-09-07,23.4,20.3,26.4,0.0,,,20.5,59.0,1014.2,,2916,1414,1502,False,False,Monday,False,False
2020-09-08,25.3,22.0,29.1,0.0,,,12.6,31.0,1021.5,,3361,1687,1674,False,False,Tuesday,False,False
2020-09-09,24.9,22.9,28.2,0.0,,,10.3,30.0,1021.9,,588,245,343,False,False,Wednesday,False,False
2020-09-10,23.8,21.9,27.3,0.3,,,9.8,28.0,1016.2,,1221,595,626,False,False,Thursday,False,False
2020-09-11,24.4,22.6,26.3,0.0,,,12.6,26.0,1012.7,,871,384,487,False,False,Friday,False,False
2020-09-12,25.1,21.5,27.2,2.0,,,11.3,33.0,1016.2,,3040,1527,1513,True,True,Saturday,False,False
2020-09-13,26.2,23.0,29.5,0.0,,,10.7,24.1,1021.7,,3107,1569,1538,False,True,Sunday,False,False
2020-09-14,26.6,23.3,30.6,0.0,,,10.4,25.9,1023.4,,3143,1565,1578,False,False,Monday,False,False
2020-09-15,25.6,22.3,29.7,0.0,,,12.2,28.0,1020.9,,3165,1577,1588,False,False,Tuesday,False,False
2020-09-16,24.8,22.3,28.4,0.0,,,9.8,31.0,1017.6,,3342,1641,1701,False,False,Wednesday,False,False
2020-09-17,25.2,22.2,28.1,0.0,,,9.4,33.0,1015.9,,4168,2032,2136,False,False,Thursday,False,False
2020-09-18,25.4,22.0,30.5,0.0,,,11.3,26.0,1018.1,,3276,1611,1665,False,False,Friday,False,False
2020-09-19,24.9,23.1,27.2,0.0,,,13.7,41.0,1017.3,,2967,1479,1488,False,True,Saturday,False,False
2020-09-20,22.3,19.4,25.2,19.8,,,13.1,35.0,1014.7,,1959,977,982,True,True,Sunday,False,False
2020-09-21,21.8,19.3,25.2,27.9,,,9.8,26.0,1015.3,,2529,1268,1261,True,False,Monday,False,False
2020-09-22,19.8,17.8,22.5,0.0,,,10.8,22.0,1014.3,,1659,847,812,False,False,Tuesday,False,False
2020-09-23,20.6,16.6,24.7,6.4,,,16.4,44.0,1010.3,,3527,1812,1715,True,False,Wednesday,False,False
2020-09-24,20.7,16.5,25.1,0.0,,,11.1,70.0,1009.2,,684,269,415,False,False,Thursday,False,False
2020-09-25,19.0,16.5,22.1,22.6,,,29.4,72.0,999.4,,2299,1159,1140,True,False,Friday,False,False
2020-09-26,17.8,13.9,23.3,0.0,,,19.3,51.8,999.4,,2918,1433,1485,False,True,Saturday,False,False
2020-09-27,16.2,11.8,20.1,0.0,,,18.5,44.0,1003.2,,1846,894,952,False,True,Sunday,False,False
2020-09-28,16.7,12.8,20.5,0.0,,,11.8,33.0,1007.9,,3289,1631,1658,False,False,Monday,False,False
2020-09-29,17.9,13.3,21.5,0.0,,,13.4,31.0,1016.0,,3490,1723,1767,False,False,Tuesday,False,False
2020-09-30,19.3,15.8,21.6,0.0,,,8.9,18.5,1015.1,,3539,1772,1767,False,False,Wednesday,False,False
