date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,count,in,out,is_rainy,is_weekend,weekday,is_holiday,is_vacations
2020-02-10,10.9,8.0,14.2,4.8,,,28.1,93.0,1007.5,,4338,1657,2681.0,True,False,Monday,False,True
2020-02-11,6.6,4.6,9.5,0.4,,,19.4,68.0,1015.7,,6459,2612,3847.0,False,False,Tuesday,False,True
2020-02-12,6.5,4.2,9.7,0.0,,,12.9,50.0,1020.5,,7624,3053,4571.0,False,False,Wednesday,False,True
2020-02-13,8.7,5.2,12.8,2.4,,,19.2,72.2,1007.2,,6125,2498,3627.0,True,False,Thursday,False,True
2020-02-14,9.9,8.9,11.9,0.0,,,11.6,44.5,1021.6,,7327,3059,4268.0,False,False,Friday,False,True
2020-02-15,10.0,6.5,13.9,0.6,,,14.8,48.0,1019.5,,5696,2517,3179.0,False,True,Saturday,False,True
2020-02-16,14.1,9.0,18.0,6.3,,,28.1,91.0,1010.1,,3710,1687,2023.0,True,True,Sunday,False,True
2020-02-17,9.4,6.6,12.7,0.8,,,17.0,59.0,1018.4,,6905,2892,4013.0,False,False,Monday,False,True
2020-02-18,7.6,4.1,11.1,4.6,,,14.8,48.0,1026.7,,7857,3244,4613.0,True,False,Tuesday,False,True
2020-02-19,7.6,5.5,10.1,0.6,,,13.7,48.0,1024.6,,7019,2861,4158.0,False,False,Wednesday,False,True
2020-02-20,8.8,6.2,11.2,4.1,,,16.9,74.0,1020.4,,6654,2766,3888.0,True,False,Thursday,False,True
2020-02-21,6.7,2.9,10.5,0.0,,,11.0,39.0,1030.0,,7340,2942,4398.0,False,False,Friday,False,True
2020-02-22,9.3,5.3,13.1,0.0,,,14.6,50.0,1028.2,,6001,2646,3355.0,False,True,Saturday,False,True
2020-02-23,11.7,9.8,13.6,0.4,,,17.7,64.8,1025.5,,4556,1922,2634.0,False,True,Sunday,False,True
2020-02-24,11.7,10.2,13.0,4.4,,,17.6,57.0,1019.6,,7550,3105,4445.0,True,False,Monday,False,False
2020-02-25,8.5,4.9,11.5,2.2,,,16.4,67.0,1006.8,,7673,3063,4610.0,True,False,Tuesday,False,False
2020-02-26,4.8,2.8,7.1,6.4,,,17.8,61.0,1007.5,,7038,2755,4283.0,True,False,Wednesday,False,False
2020-02-27,5.8,2.8,12.5,9.1,,,19.8,78.0,1004.7,,5699,2246,3453.0,True,False,Thursday,False,False
2020-02-28,5.9,1.7,10.9,0.0,,,13.7,50.0,1015.1,,7358,2977,4381.0,False,False,Friday,False,False
2020-02-29,9.3,6.8,12.4,3.6,,,21.5,70.0,997.9,,5084,2209,2875.0,True,True,Saturday,False,False
2020-03-01,6.2,2.3,9.4,14.1,,,16.3,52.0,997.0,,2583,1132,1451.0,True,True,Sunday,False,False
2020-03-02,6.9,4.6,9.2,6.9,,,14.2,54.0,992.6,,6085,2458,3627.0,True,False,Monday,False,False
2020-03-03,5.6,2.2,9.2,0.2,,,10.5,46.3,1006.1,,8900,3474,5426.0,False,False,Tuesday,False,False
2020-03-04,6.0,3.5,7.9,4.8,,,10.5,37.0,1011.5,,8096,3222,4874.0,True,False,Wednesday,False,False
2020-03-05,9.2,7.2,12.8,17.6,,,13.9,70.0,992.5,,5466,2128,3338.0,True,False,Thursday,False,False
2020-03-06,7.5,6.1,9.8,0.0,,,15.1,67.0,1003.9,,8376,3437,4939.0,False,False,Friday,False,False
2020-03-07,8.0,3.8,11.7,0.0,,,8.7,55.5,1020.2,,6580,2907,3673.0,False,True,Saturday,False,False
2020-03-08,9.0,7.7,10.9,5.8,,,16.0,52.0,1015.4,,3836,1680,2156.0,True,True,Sunday,False,False
2020-03-09,8.4,5.6,12.3,2.8,,,14.0,44.0,1017.3,,7963,3125,4838.0,True,False,Monday,False,False
2020-03-10,11.9,7.4,15.1,0.0,,,17.5,52.0,1014.5,,8697,3525,5172.0,False,False,Tuesday,False,False
2020-03-11,14.5,12.2,17.2,3.0,,,17.5,59.0,1017.2,,9779,4002,5777.0,True,False,Wednesday,False,False
2020-03-12,11.2,7.6,13.6,0.0,,,16.8,48.2,1016.7,,9092,3706,5386.0,False,False,Thursday,False,False
2020-03-13,7.8,3.3,13.0,0.0,,,13.2,38.9,1022.4,,9300,3830,5470.0,False,False,Friday,False,False
2020-03-14,8.9,6.3,11.6,0.4,,,12.4,53.7,1020.0,,5477,2392,3085.0,False,True,Saturday,False,False
